SampleID	Cluster
MP11160_S5	6
MP11165_S20	5
MP11252_S36	5
MP11404_S38	2
MP11452_S92	3
MP11830_S63	3
MP12015_S13	3
MP12058_S95	7
MP12095_S91	3
MP12128_S78	5
MP12379_S73	2
MP12398_S87	3
MP12625_S19	2
MP12690_S16	8
MP12800_S47	8
MP12822_S45	6
MP12840_S69	2
MP12862_S54	2
MP12948_S74	2
MP13193_S28	7
MP13337_S14	3
MP13357_S79	8
MP13529_S44	4
MP13637_S75	5
MP13638_S43	7
MP13643_S15	7
MP14034_S52	4
MP14228_S65	2
MP14307_S34	7
MP14897_S88	2
MP14938_S10	6
MP15016_S76	2
MP15042_S55	2
MP15330_S93	7
MP15378_S7	2
MP15418_S35	8
MP15477_S59	5
MP15546_S40	6
MP15816_S68	4
MP15913_S11	8
MP16158_S30	3
MP16246_S50	4
MP16270_S81	2
MP16323_S94	7
MP16363_S80	7
MP16398_S8	6
MP16468_S86	7
MP16588_S90	1
MP16701_S4	2
MP16831_S53	7
MP16933_S60	3
MP17013_S25	7
MP17025_S89	8
MP17092_S64	1
MP17362_S24	7
MP17384_S62	1
MP17754_S67	5
MP17784_S41	7
MP17925_S23	3
MP18200_S56	3
MP18413_S18	8
MP18520_S57	7
MP18720_S3	1
MP18952_S72	3
MP18964_S31	2
MP18981_S12	3
MP19140_S9	2
MP19159_S46	7
MP19343_S27	5
MP19362_S61	6
MP19432_S82	1
MP19524_S22	1
MP19594_S33	7
MP19615_S77	3
MP19684_S49	8
MP19828_S70	8
MP19960_S1	1
MP10176_S38	2
MP10503_S76	5
MP10533_S20	8
MP10791_S56	3
MP10835_S30	8
MP11201_S7	2
MP11211_S82	5
MP11545_S64	7
MP11927_S35	4
MP11959_S88	7
MP12048_S37	8
MP12078_S40	5
MP12099_S17	7
MP12166_S48	8
MP12825_S79	1
MP12909_S8	5
MP12927_S39	2
MP12950_S83	2
MP12957_S77	4
MP12999_S93	8
MP13105_S2	1
MP13120_S59	1
MP13158_S91	4
MP13217_S15	2
MP13229_S12	2
MP13240_S32	3
MP13351_S42	8
MP13366_S18	4
MP13463_S52	4
MP13645_S51	2
MP13843_S34	6
MP13954_S1	6
MP14116_S9	3
MP14216_S55	5
MP14314_S29	3
MP14347_S36	4
MP14531_S73	3
MP14713_S92	6
MP14742_S21	3
MP14920_S66	2
MP14991_S86	4
MP15025_S5	2
MP15153_S63	5
MP15259_S31	8
MP15642_S14	5
MP15727_S10	7
MP15828_S3	6
MP15835_S53	3
