Taxon	NormalizedWeight	Selected
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;hominis	0.541738432961357	1
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonellaceae_[G-1];bacterium_HMT_155	0.536470624352391	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroidaceae_[G-1];bacterium_HMT_272	0.530391457652776	1
Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;faucium	0.529118280102999	1
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;wadei	0.52507726849681	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola	0.523831723899561	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_292	0.514573355613296	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;oralis	0.511312737833543	1
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva	0.508467590557425	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;tannerae	0.508042947038365	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae_[XV];Pseudoramibacter;alactolyticus	0.505194917811852	1
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;flava	0.505034115128167	1
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;valvarum	0.496563033192466	1
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;socranskii	0.494728864740249	1
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;constellatus	0.48639196753436	1
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;massiliensis	0.484897881388118	1
